1	0.36	0.57	0.76	2
1	0.83	1.00	0.90	2
1	0.80	0.75	1.04	2
1	0.00	0.63	0.00	3
1	0.81	0.98	0.89	1
1	0.88	1.00	0.93	3
1	0.70	0.98	0.82	4
1	0.76	1.00	0.85	2
1	0.22	0.33	0.78	3
2	0.81	1.00	0.88	3
2	0.50	0.79	0.76	2
2	0.54	0.98	0.69	2
2	0.69	0.98	0.82	2
2	0.49	0.30	1.27	2
2	0.31	0.70	0.59	1
2	0.29	0.63	0.60	2
2	0.53	0.98	0.68	2
2	0.75	0.90	0.90	2
2	0.66	0.58	1.07	
3	0.72	0.80	0.94	2
3	0.33	0.70	0.62	2
3	0.49	0.58	0.91	3
3	0.39	0.58	0.79	3
3	0.43	0.92	0.62	3
3	0.65	0.43	1.23	1
3	0.37	0.86	0.58	2
3	0.71	0.78	0.95	
3	0.74	0.81	0.95	2
